word,meaning
bukbuk,Boil. bubuka; binukal; bumukal sprout; give one lump; boil something thoroughly; tomorrow. the next day; put off till tomorrow; overnight; spent the night; candied delicacy; make
buklat,Open; break (of dawn). open something; buklat; bukongbukong; round bone at side of ankle
buksiq,See dictionary entry
buktut,Pregnant; buktut
buku,See dictionary entry
bukud,Separated; live apart; aibukud
bukul,Lump; swelling boil (on skin). bukul has lumps; bukul
bukuq,See dictionary entry
bula,Cotton
bula:bulaq,Section of fishponds
bulad,See dictionary entry
bulag,Bubulad talk; answer back; talkative. blind; blind person
bulak,See dictionary entry
bulakbul,Cotton; loitering. bulakbulero one who loiters
bulaklak,See dictionary entry
bulaklakan,Teenagers game; played at wakes
bulakus,Kneecap (rare?)
bulan,Moon; month
bulangisngis,Kind of bat
bulaq,Bubble; bubulaq; bubbly
bulas,Be spoken to angrily; bulas
bulati,Worm(s); likely to give worms (e.g. food)
bulbul,Be spoken to angrily; bulas; worm(s); likely to give worms (e.g. food); down; small feathers or hair. bulbul hair in armpits; with abundant down; hairy; defeather; can defeather
buldit,Buttocks; rear of bus or truck; strike in buttocks; struck in buttocks
bule,See dictionary entry
bulig,See dictionary entry
bulkan,Volcano
bulugan,See dictionary entry
buluk,Buttocks; rear of bus or truck; strike in buttocks; struck in buttocks; kind of vegetable; rice dust. wild bamboo used to make sawali walling fine hairs on stalk very; fuzzy; fetid; buluk allow to become fetid
bulung,Leaf; of book; leafy; whisper. bubulung; whisper something; bilung; bulung
bulungan,Kind of banana; green and about 10 long
buluq,See dictionary entry
bulus,Bubulus rush into something
bulutung,Victim
bulyo,See dictionary entry
bumba,Shout. bubulyo; bulyon shout at someone; bilyon; pump; spray; spray something; bumba; bumba spray something for one; have sexual
bumbong,Kind of bamboo; rice cake; steamed through bamboo tubes
bumbunan,Fontanel
bunduk,Mountain; hilly; mountainous
bunga,See dictionary entry
bungal,Fruit; bear fruit; bearing fruit abundantly; lacking front teeth
bungangaq,Whistle; loud noise
bungiq,Split; shattered; having harelip or lacking front teeth
bunitil,One grain of rice
bunsu,See dictionary entry
bunsul,Unconscious; knock someone unconscious
buntal,See dictionary entry
buntuk,See dictionary entry
buntun,Stack. haystack
bunut,Baby; youngest in family. the youngest. unconscious; knock someone unconscious; hat made of woven and starched reeds or grasses; head. chief; front of truck; carry on head; stack. haystack; coconut husk used for polishing floors; something
